Date,City,Country,Status,AQI_Value
6/3/2022,Jakarta,Indonesia,Moderate,79.0
6/4/2022,Jakarta,Indonesia,Moderate,99.0
6/5/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,122.0
6/6/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
6/7/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,117.0
6/8/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,107.0
6/9/2022,Jakarta,Indonesia,Moderate,100.0
6/10/2022,Jakarta,Indonesia,Moderate,85.0
6/11/2022,Jakarta,Indonesia,Moderate,100.0
6/12/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
6/13/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
6/14/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,105.0
6/15/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
6/16/2022,Jakarta,Indonesia,Unhealthy,152.0
6/17/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,138.0
6/18/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,134.0
6/19/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
6/20/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
6/21/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,147.0
6/22/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,131.0
6/23/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,136.0
6/24/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
6/25/2022,Jakarta,Indonesia,Unhealthy,155.0
6/26/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,139.0
6/27/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,122.0
6/28/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,117.0
6/29/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,106.0
6/30/2022,Jakarta,Indonesia,Moderate,93.0
7/1/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
7/2/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,142.0
7/3/2022,Jakarta,Indonesia,Unhealthy,160.0
7/4/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
7/5/2022,Jakarta,Indonesia,Moderate,77.0
7/6/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,106.0
7/7/2022,Jakarta,Indonesia,Moderate,89.0
7/8/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,113.0
7/9/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,108.0
7/10/2022,Jakarta,Indonesia,Moderate,98.0
7/11/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,110.0
7/12/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,140.0
